ID,F_FECHAAVALUO,TOT_BANOS,DEPOSITO,HABITACIONES,ESTRATO,TOTALGARAJES,PISOS,SOTANOS,ANTIGUEDAD,EDIPISO,IDCATEGORIA,ASCENSOR,LATITUD,LONGITUD,LOCALIDAD,BARRIO,AREA_PRIVADA,AREA_PRIVADA_VALFINAL
1,05/01/2016,1,0,2,2,0,2,0,0,2,Casa,0,4.51811 ,-74.0900,SAN CRISTOBAL,YOMASA,39.66,"173,799,712.13"
2,05/01/2016,1,0,2,2,0,2,0,0,2,Casa,0,4.51811 ,-74.0900,SAN CRISTOBAL,YOMASA,39.40,"174,366,414.16"
3,05/01/2016,1,0,2,2,0,2,0,0,2,Casa,0,4.51811 ,-74.0917,SAN CRISTOBAL,YOMASA,39.42,"183,134,477.88"
4,05/01/2016,1,0,2,3,0,24,0,0,NA,Apartamento,1,4.58307 ,-74.1681,CIUDAD BOLIVAR,EL PENON DEL CORTIJO,37.46,"225,300,956.31"
5,05/01/2016,1,0,2,2,0,6,0,0,2,Apartamento,0,4.52511 ,-74.0876,SAN CRISTOBAL,JUAN REY (LA PAZ),37.69,"175,970,382.51"
6,05/01/2016,1,0,2,2,0,6,0,0,1,Apartamento,0,4.52511 ,-74.0875,SAN CRISTOBAL,JUAN REY (LA PAZ),38.26,"178,642,470.75"
7,05/01/2016,1,0,2,2,0,6,0,0,6,Apartamento,0,4.52511 ,-74.0874,SAN CRISTOBAL,JUAN REY (LA PAZ),37.82,"175,218,327.89"
8,05/01/2016,1,0,2,2,0,6,0,0,3,Apartamento,0,4.52511 ,-74.0878,SAN CRISTOBAL,JUAN REY (LA PAZ),38.08,"178,008,119.35"
9,05/01/2016,1,0,2,2,0,6,0,0,6,Apartamento,0,4.52511 ,-74.0873,SAN CRISTOBAL,JUAN REY (LA PAZ),38.01,"178,520,538.74"
10,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0875,SAN CRISTOBAL,JUAN REY (LA PAZ),37.72,"177,163,090.94"
11,05/01/2016,1,0,2,2,0,6,0,0,4,Apartamento,0,4.52511 ,-74.0872,SAN CRISTOBAL,JUAN REY (LA PAZ),37.79,"179,447,742.08"
12,05/01/2016,1,0,2,2,0,6,0,0,6,Apartamento,0,4.52511 ,-74.0875,SAN CRISTOBAL,JUAN REY (LA PAZ),38.09,"175,790,451.80"
13,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0872,SAN CRISTOBAL,JUAN REY (LA PAZ),38.24,"176,937,060.56"
14,05/01/2016,1,0,2,2,0,6,0,0,4,Apartamento,0,4.52511 ,-74.0872,SAN CRISTOBAL,JUAN REY (LA PAZ),38.26,"178,405,762.61"
15,05/01/2016,1,0,2,2,0,6,0,0,1,Apartamento,0,4.52511 ,-74.0875,SAN CRISTOBAL,JUAN REY (LA PAZ),38.42,"179,078,921.70"
16,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0876,SAN CRISTOBAL,JUAN REY (LA PAZ),37.64,"175,530,077.27"
17,05/01/2016,1,0,2,2,0,6,0,0,6,Apartamento,0,4.52511 ,-74.0874,SAN CRISTOBAL,JUAN REY (LA PAZ),38.17,"177,825,760.75"
18,05/01/2016,1,0,2,2,0,6,0,0,3,Apartamento,0,4.52511 ,-74.0880,SAN CRISTOBAL,JUAN REY (LA PAZ),37.92,"183,296,543.94"
19,05/01/2016,1,0,2,2,0,6,0,0,2,Apartamento,0,4.52511 ,-74.0871,SAN CRISTOBAL,JUAN REY (LA PAZ),37.97,"174,575,457.13"
20,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0879,SAN CRISTOBAL,JUAN REY (LA PAZ),37.96,"175,428,174.39"
21,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0878,SAN CRISTOBAL,JUAN REY (LA PAZ),38.02,"176,457,584.61"
22,05/01/2016,1,0,2,2,0,6,0,0,1,Apartamento,0,4.52511 ,-74.0877,SAN CRISTOBAL,JUAN REY (LA PAZ),38.33,"178,665,940.28"
23,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0877,SAN CRISTOBAL,JUAN REY (LA PAZ),37.93,"178,121,958.29"
24,05/01/2016,1,0,2,2,0,6,0,0,5,Apartamento,0,4.52511 ,-74.0877,SAN CRISTOBAL,JUAN REY (LA PAZ),37.74,"185,584,808.84"
25,05/01/2016,1,0,2,2,0,6,0,0,1,Apartamento,0,4.52511 ,-74.0878,SAN CRISTOBAL,JUAN REY (LA PAZ),37.63,"201,723,503.07"
26,05/01/2016,1,0,2,2,0,6,0,0,4,Apartamento,0,4.52511 ,-74.0871,SAN CRISTOBAL,JUAN REY (LA PAZ),38.37,"179,117,539.54"
27,06/01/2016,1,0,2,2,0,6,0,0,NA,Apartamento,0,4.52511 ,-74.0873,SAN CRISTOBAL,JUAN REY (LA PAZ),38.14,"174,821,657.47"
